senseval2.d000.s000.t000	5) The study and creation of visual works of art
senseval2.d000.s010.t001	The most suitable dictionary definition which identifies the meaning of "group" among the given options is:8) Any number of entities
senseval2.d000.s010.t002	1) A person who is almost identical to another.
senseval2.d000.s010.t003	2) Have as a part, be made up out of
senseval2.d000.s010.t006	2) The activities of educating or instructing; activities that impart knowledge or skill.
senseval2.d000.s010.t007	7) Have certain properties when drivenExplanation: The sentence describes the effort to keep the bells sounding in the many belf
senseval2.d000.s010.t008	1) First day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s010.t009	2) A service conducted in a house of worship
senseval2.d000.s010.t010	1) The body of people who attend or belong to a particular local church
senseval2.d000.s010.t011	4) Use of physical or mental energy; hard work;
senseval2.d000.s010.t012	1) Store or keep customarily (this definition is the most suitable as it refers to the act of keeping, storing,
senseval2.d000.s010.t013	3) A push button at an outer door that gives a ringing or buzzing signal when pushed
senseval2.d000.s010.t014	1) Make a certain noise or sound
senseval2.d000.s011.t000	The most suitable dictionary definition which identifies the meaning of "even" is:4) To the full extentThis definition refers
senseval2.d000.s011.t001	1) (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network
senseval2.d000.s011.t002	2) Anything that approximates the shape of a column or tower
senseval2.d000.s011.t003	3) Make by scraping
senseval2.d000.s011.t004	7) Speak, pronounce, or utter in a certain way
senseval2.d000.s011.t006	4) a person who works at a specific occupation
senseval2.d000.s012.t000	2) Melt (fat or lard) in order to separate out impurities
senseval2.d000.s012.t001	3) Travel by rail or train.The sentence describes the youngsters as "drifting away," which implies that they are moving
senseval2.d000.s012.t003	1) Popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly
senseval2.d000.s012.t004	2) Taking a series of rhythmical steps (and movements) in time to music
senseval2.d000.s012.t005	2) And nothing more
senseval2.d000.s012.t006	3) Be in motion due to some air or water current
senseval2.d000.s012.t007	7) Indicating continuing action; continuously or steadily
senseval2.d000.s013.t000	5) Be worried, concerned, anxious, troubled, or uneasy
senseval2.d000.s013.t003	3) Early maturity; the state of being young or immature or inexperienced.
senseval2.d000.s013.t005	3) A row or line of people (especially soldiers or police) standing abreast of one another.
senseval2.d000.s013.t006	2) A band of musicians who play rock'n'roll music
senseval2.d000.s013.t007	7) Remain in a certain state, position, or condition
senseval2.d000.s013.t008	4) A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath.
senseval2.d000.s014.t000	The most suitable definition is:5) The discipline that records and interprets past events involving human beings.This definition is the
senseval2.d000.s014.t001	8) An elevated geological formation
senseval2.d000.s015.t001	3) The practice of measuring angles and distances on the ground so that they can be accurately plotted on a map.
senseval2.d000.s015.t002	1) Receive or obtain regularly
senseval2.d000.s015.t003	5) A period of time containing 365 (or 366) days
senseval2.d000.s015.t007	4) A place for public (especially Christian) worship.
senseval2.d000.s015.t008	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s015.t009	1) Not in any degree or manner; not at all.
senseval2.d000.s015.t011	3) Ring or echo with sound
senseval2.d000.s015.t012	1) First day of the week; observed as a day of rest and worship by most Christians.
senseval2.d000.s015.t013	3) Ring or echo with sound
senseval2.d000.s016.t000	2) Affording comfort.
senseval2.d000.s016.t001	2) Date regularly; have a steady relationship with
senseval2.d000.s016.t002	2) Belonging to times long past especially of the historical period before the fall of the Western Roman Empire.
senseval2.d000.s016.t003	5) The study and creation of visual works of art.
senseval2.d000.s017.t000	1) Used to form the comparative of some adjectives and adverbs
senseval2.d000.s017.t002	2) A written work (as a novel) that has been recast in a new form
senseval2.d000.s017.t003	The most suitable dictionary definition which identifies the meaning of "playing" among the given options is:9) Play on an instrument
senseval2.d000.s017.t004	1) The traditional and typically anonymous music that is an expression of the life of people in a community
senseval2.d000.s017.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s017.t007	2) Of or relating to or concerning the American colonies during and immediately after the American Revolutionary War
senseval2.d000.s017.t008	3) The 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer
senseval2.d000.s017.t009	3) Regard or treat with consideration, respect, and esteem.
senseval2.d000.s017.t010	The most suitable definition for "English" is:5) An Indo-European language belonging to the West Germanic branch; the
senseval2.d000.s017.t012	4) (usually followed by `to' or `for') on the point of or strongly disposed
senseval2.d000.s017.t013	The most suitable dictionary definition which identifies the meaning of "only" is:5) Never except whenThis definition captures the
senseval2.d000.s017.t014	2) A person who comes from a foreign country; someone who does not owe allegiance to your country.
senseval2.d000.s018.t002	2) The English language as used in the United States
senseval2.d000.s018.t003	1) Make up something artificial or untrue
senseval2.d000.s018.t004	4) a period of time occupying a regular part of a calendar year that is used for some particular activity
senseval2.d000.s018.t006	4) Require as useful, just, or proper
senseval2.d000.s018.t007	5) According with material things (other than those peculiar to living matter)
senseval2.d000.s018.t009	2) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s018.t010	2) Have weight; have import, carry weight
senseval2.d000.s018.t014	2) Possessing or displaying a distinctive feature to a heightened degree.In the given sentence, "intense" is
senseval2.d000.s018.t015	1) Involving the mind or an intellectual process.
senseval2.d000.s018.t016	3) Great and constant diligence and attention
senseval2.d000.s019.t000	1) Of or relating to the English language
senseval2.d000.s019.t001	5) English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961
senseval2.d000.s019.t003	2) A serving to each of a group (usually alcoholic).
senseval2.d000.s019.t004	2) Used of sounds and voices; high in pitch or frequency
senseval2.d000.s019.t005	The most suitable dictionary definition which identifies the meaning of "bell" is:3) A push button at an outer door that
senseval2.d000.s019.t006	5) Less than normal in degree or intensity or amount
senseval2.d000.s019.t007	The most suitable dictionary definition which identifies the meaning of "simple" among the given options is:2) (botany)
senseval2.d000.s019.t009	1) A measuring instrument for weighing; shows amount of mass
senseval2.d000.s019.t010	1) Avail oneself to (meaning to use or employ something to achieve an end or purpose).
senseval2.d000.s019.t012	3) Any of several churches claiming to have maintained historical continuity with the original Christian Church.
senseval2.d000.s019.t014	5) English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961
senseval2.d000.s020.t000	The most suitable definition for "Then" is:1) Subsequently or soon afterward (often used as sentence connectors)This
senseval2.d000.s020.t001	1) Any nonverbal action or gesture that encodes a message.
senseval2.d000.s020.t002	1) A person who is almost identical to another.In this context, "ringers" refers to the person who is
senseval2.d000.s020.t003	7) Begin to speak or say he began.
senseval2.d000.s020.t004	2) Be subject to change in accordance with a variableIn the given sentence, "varying" means to change the
senseval2.d000.s020.t005	8) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed.
senseval2.d000.s020.t006	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s020.t007	3) Measure the depth of (a body of water) with a sounding line.
senseval2.d000.s020.t008	3) Cause to change; make different; cause a transformation
senseval2.d000.s020.t009	2) Marked by firm determination or resolution; not shakable
senseval2.d000.s020.t010	4) Recurring at regular intervals.
senseval2.d000.s020.t011	The most suitable dictionary definition which identifies the meaning of "striking" is:2) The act of contacting one thing with
senseval2.d000.s021.t000	The most suitable dictionary definition which identifies the meaning of "variation" is:8) The act of changing or altering something slightly
senseval2.d000.s021.t002	The most suitable dictionary definition which identifies the meaning of "occur" is:2) Come to one's mind; suggest
senseval2.d000.s021.t003	The most suitable definition is:2) And nothing moreThis definition correctly identifies "only" as meaning "not more than
senseval2.d000.s021.t004	2) On one occasion
senseval2.d000.s021.t005	7) Prescribed guide for conduct or action
senseval2.d000.s021.t006	The most suitable definition is:2) Put beforeThis definition is commonly used in the phrase "the rules state", where
senseval2.d000.s022.t000	The most suitable dictionary definition which identifies the meaning of "Ringers" is:4) the successful throw of a horsesh
senseval2.d000.s022.t005	3) An acting technique introduced by Stanislavsky in which the actor recalls emotions or reactions from his or her own life and
senseval2.d000.s022.t006	2) A noun that denotes a particular thing; usually capitalized
senseval2.d000.s023.t000	3) (electronics) connection of components in such a manner that current flows first through one and then through the other.
senseval2.d000.s023.t003	The most suitable dictionary definition which identifies the meaning of "takes" among the given options is:2) Experience or feel or
senseval2.d000.s023.t004	3) All around or on all sides.
senseval2.d000.s023.t005	2) A period of time equal to 1/24th of a day.
senseval2.d000.s024.t000	2) Outward or visible aspect of a person or thing
senseval2.d000.s024.t002	1) The time after sunset and before sunrise while it is dark outside.
senseval2.d000.s024.t003	The most suitable dictionary definition is:2) Translating an idea into actionExplanation: This definition accurately describes the meaning
senseval2.d000.s024.t004	4) a place for public (especially Christian) worship.
senseval2.d000.s024.t006	The most suitable dictionary definition which identifies the meaning of "gives" is:4) Break down, literally or metaphorically
senseval2.d000.s024.t007	The most suitable definition is:3) The content of cognition; the main thing you are thinking about
senseval2.d000.s024.t008	The most suitable definition for the sentence is:1) A product produced or accomplished through the effort or agency of a person or
senseval2.d000.s024.t009	The most suitable definition is:1) Connected by participation or association or useIn the given sentence, the word "inv
senseval2.d000.s025.t000	1) A person who is almost identical to another
senseval2.d000.s025.t001	8) Hold one's ground; maintain a position; be steadfast or upright
senseval2.d000.s025.t002	2) Street names for flunitrazepan
senseval2.d000.s025.t003	1) A linear unit of length equal to 12 inches or a third of a yard
senseval2.d000.s025.t004	3) In a forward direction
senseval2.d000.s025.t006	2) A rationalized mental attitude
senseval2.d000.s025.t007	8) Cause to move by pulling.
senseval2.d000.s025.t008	1) A strong line.
senseval2.d000.s025.t009	3) Limited in size or scope
senseval2.d000.s025.t010	5) An opening into or through something.
senseval2.d000.s025.t011	2) Standing above others in quality or position
senseval2.d000.s025.t012	1) The overhead upper surface of a covered space.
senseval2.d000.s025.t013	2) An area within a building enclosed by walls and floor and ceiling
senseval2.d000.s026.t000	3) Use language.
senseval2.d000.s026.t002	1) A strong line.
senseval2.d000.s026.t003	3) Seem to be true, probable, or apparent
senseval2.d000.s026.t004	2) Proceed along a path.
senseval2.d000.s026.t006	3) The subjective sensation of hearing something.
senseval2.d000.s026.t007	2) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s026.t008	2) Conceal or hide.
senseval2.d000.s026.t009	2) (meteorology) altitude of the lowest layer of clouds
senseval2.d000.s027.t001	1) Giving or marked by complete attention to.
senseval2.d000.s027.t002	3) A contestant entered in a competition under false pretenses
senseval2.d000.s027.t003	2) Look at with fixed eyes
senseval2.d000.s027.t004	2) In a straight line; in a direct course
senseval2.d000.s027.t005	3) In a forward direction.
senseval2.d000.s027.t006	1) Avail oneself to (to use or make use of something)
senseval2.d000.s027.t008	7) Read aloud to check for omissions or absentees.
senseval2.d000.s027.t009	4) See or watch
senseval2.d000.s027.t010	2) Belonging to the distant past
senseval2.d000.s027.t011	1) A strong line
senseval2.d000.s027.t012	2) (used to introduce a logical conclusion) from that fact or reason or as a result
senseval2.d000.s027.t013	2) Adjust so that a force is applied and an action occurs at the desired time
senseval2.d000.s027.t014	3) A sustained effort
senseval2.d000.s028.t000	3) At or to a certain point or degree.
senseval2.d000.s028.t001	The correct answer is:1) In or to a place that is higherThis definition is closely related to the given sentence
senseval2.d000.s028.t004	The most suitable dictionary definition is:1) Of the color of bronze.This definition describes the color of the bronze bells,
senseval2.d000.s028.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s028.t006	1) Attach to a support.
senseval2.d000.s028.t007	5) A simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or
senseval2.d000.s028.t008	4) Be a social swinger; socialize a lot.
senseval2.d000.s028.t009	2) In an uncontrolled manner
senseval2.d000.s028.t010	4) Complete in extent or degree and in every particular.
senseval2.d000.s028.t011	4) A specific identifiable position in a continuum or series or especially in a process.
senseval2.d000.s028.t012	9) Begin an event that is implied and limited by the nature or inherent function of the direct object
senseval2.d000.s028.t013	3) Be the end of; be the last or concluding part of
senseval2.d000.s028.t015	2) Being in such a position that top and bottom are reversed.
senseval2.d000.s028.t016	1) The appropriate or customary location.
senseval2.d000.s029.t001	1) A person who is almost identical to another.
senseval2.d000.s029.t002	1) Avail oneself to (to make use of something, especially one's abilities, resources, etc.)
senseval2.d000.s029.t005	3) Cause to move more slowly or operate at a slower rate
senseval2.d000.s029.t006	3) A square dance figure; a pair of dancers join hands and dance around a point between them.
senseval2.d000.s029.t007	2) (usually followed by `that') to an extent or degree as expressed
senseval2.d000.s029.t008	2) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s029.t009	2) Exchange or give (something) in exchange for
senseval2.d000.s029.t010	The most suitable dictionary definition which identifies the meaning of "places" among the given options is:2) An item on a
senseval2.d000.s030.t000	1) Widely or fully known.
senseval2.d000.s030.t002	5) Occupy or engage the interest of.
senseval2.d000.s030.t003	4) a place for public (especially Christian) worship
senseval2.d000.s030.t004	1) A phonetician and father of Alexander Graham Bell (1819-1905)
senseval2.d000.s030.t005	1) Of or relating to the English language
senseval2.d000.s030.t007	2) To give an account or representation of in words
senseval2.d000.s030.t008	4) The strong feeling or emotion
senseval2.d000.s030.t009	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
senseval2.d000.s030.t010	3) State of being gratified or satisfied
senseval2.d000.s030.t011	5) Characterized by the exactness or precision of mathematics.
senseval2.d000.s030.t012	2) (logic) an attribute of a logical system that is so constituted that a contradiction arises if any proposition is introduced that
senseval2.d000.s030.t013	2) Relating to or concerned with machinery or tools
senseval2.d000.s030.t014	3) The state of being without a flaw or defect
senseval2.d000.s031.t000	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s031.t001	2) State or say further
senseval2.d000.s031.t002	2) Of time) taken up.
senseval2.d000.s031.t003	The most suitable definition is:2) Dignified and somber in manner or character and committed to keeping promisesIn
senseval2.d000.s031.t004	1) Cover a certain distance.
senseval2.d000.s031.t006	2) Any customary observance or practice.
senseval2.d000.s031.t008	2) Perform a function
senseval2.d000.s032.t000	2) Undergo a change or development
senseval2.d000.s032.t002	3) An unhealthy and compulsive preoccupation with something or someone
senseval2.d000.s032.t003	4) Declare to be true or admit the existence or reality or truth of
senseval2.d000.s032.t004	2) A person who has general authority over others
senseval2.d000.s032.t007	2) (comparative and superlative of `well') wiser or more advantageous and hence advisable
senseval2.d000.s032.t008	2) For or pertaining to or composed of women or girls
senseval2.d000.s032.t009	4) the successful throw of a horseshoe or quoit so as to encircle a stake or peg.
senseval2.d000.s033.t000	2) The suffering of Jesus at the Crucifixion
senseval2.d000.s033.t002	The most suitable dictionary definition which identifies the meaning of "stays" among the given options is:2) Stay put (
senseval2.d000.s033.t003	3) A communication system for sending continuous radio messages to an airplane pilot who is making a ground-controlled approach to landing.
senseval2.d000.s033.t004	The most suitable dictionary definition for "however" is:4) In whatever way or mannerThis definition indicates a contrast between
senseval2.d000.s034.t000	2) Comparative of much; to a greater degree or extent
senseval2.d000.s034.t001	2) In many cases or instances.
senseval2.d000.s034.t002	3) A contestant entered in a competition under false pretenses
senseval2.d000.s034.t003	4) Choose in one's mind.
senseval2.d000.s034.t004	2) A service conducted in a house of worship
senseval2.d000.s034.t006	1) A cargo ship
senseval2.d000.s035.t001	2) Pursue to a conclusion or bring to a successful issue
senseval2.d000.s035.t002	2) Form or accumulate steadily
senseval2.d000.s035.t003	2) Agitation resulting from active worry
senseval2.d000.s035.t004	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s035.t005	2) In many cases or instances
senseval2.d000.s035.t006	3) Cause to skip over a surface
senseval2.d000.s035.t007	1) Of or characteristic of a particular locality or neighborhood
senseval2.d000.s035.t009	8) Move out of or depart from
senseval2.d000.s035.t010	2) A feeling of profound love and admiration
senseval2.d000.s035.t011	2) On a floor below
senseval2.d000.s036.t000	The most suitable dictionary definition which identifies the meaning of "well" among the given options is:4) To a suitable or
senseval2.d000.s037.t000	2) The state of being a member
senseval2.d000.s037.t002	2) At a steady rate or pace.
senseval2.d000.s037.t005	2) (Church of England) a clergyman appointed to act as priest of a parish
senseval2.d000.s037.t006	8) Exert pressure or force to or upon
senseval2.d000.s037.t007	The most suitable definition is:2) To the same degree (often followed by `as')
senseval2.d000.s037.t009	The most suitable definition is:3) Frequently or in great quantitiesThis definition matches the context of the sentence, where it
senseval2.d000.s037.t010	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s037.t011	2) Give heed (to).
senseval2.d000.s037.t012	1) (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network
senseval2.d000.s038.t000	5) A period of time containing 365 (or 366) days
senseval2.d000.s038.t002	2) (Church of England) a clergyman appointed to act as priest of a parish
senseval2.d000.s038.t003	2) Overcome or destroy
senseval2.d000.s038.t004	3) Subsequently or soon afterward (often used as sentence connectors)
senseval2.d000.s038.t005	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s038.t006	2) Give heed (to)
senseval2.d000.s038.t007	The most suitable dictionary definition which identifies the meaning of "service" is:7) A company or agency that performs a public
senseval2.d000.s038.t008	1) Terminate the employment of; discharge from an office or position.
senseval2.d000.s038.t009	2) Constituting the undiminished entirety; lacking nothing essential especially not damaged.
senseval2.d000.s038.t011	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s038.t012	2) At once (usually modifies an undesirable occurrence).
senseval2.d000.s038.t015	2) The act of making a strong public expression of disagreement and disapproval
senseval2.d000.s039.t000	3) A building that is occupied by a social club.
senseval2.d000.s039.t001	The most suitable dictionary definition which identifies the meaning of "treated" is:3) Provide treatment forThis definition is
senseval2.d000.s039.t002	3) A communication system for sending continuous radio messages to an airplane pilot who is making a ground-controlled approach to landing.
senseval2.d000.s039.t003	The most suitable dictionary definition which identifies the meaning of "sort" is:4) An operation that segregates items into groups
senseval2.d000.s039.t004	2) Standing apart; not attached to or supported by anything.
senseval2.d000.s039.t006	7) Speak, pronounce, or utter in a certain way
senseval2.d000.s040.t000	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered.
senseval2.d000.s040.t002	2) The present time or age
senseval2.d000.s040.t003	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d000.s040.t004	2) An assemblage of people or animals or things collected together.
senseval2.d000.s041.t000	1) With reference to action or condition; without change, interruption, or cessation.
senseval2.d000.s041.t002	1) A person who is almost identical to another
senseval2.d000.s041.t003	3) Ring or echo with sound
senseval2.d000.s041.t005	9) (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell
senseval2.d000.s042.t000	3) A push button at an outer door that gives a ringing or buzzing signal when pushed.Explanation: The most suitable dictionary
senseval2.d000.s042.t002	4) Marked by absence of sound.
senseval2.d000.s042.t003	8) Keep under surveillance.
senseval2.d000.s042.t005	3) Any of several churches claiming to have maintained historical continuity with the original Christian Church
senseval2.d000.s043.t000	The most suitable definition is:2) (Church of England) a clergyman appointed to act as priest of a parish
senseval2.d000.s043.t001	5) Show unwillingness towards
senseval2.d000.s043.t002	2) To consider or examine in speech or writing
senseval2.d000.s043.t003	7) Speak, pronounce, or utter in a certain way
senseval2.d000.s044.t000	2) (Church of England) a clergyman appointed to act as priest of a parish.
senseval2.d000.s044.t002	2) A service conducted in a house of worship
senseval2.d000.s044.t003	The most suitable dictionary definition which identifies the meaning of "feels" is:4) Undergo passive experience of:"We
senseval2.d000.s044.t004	1) Responsibility for a bad situation or event
senseval2.d000.s044.t008	2) immediately following in time or order
senseval2.d000.s044.t009	2) The table in Christian churches where communion is given.
senseval2.d000.s045.t000	3) Subsequently or soon afterward (often used as sentence connectors).
senseval2.d000.s045.t007	4) To this place (especially toward the speaker)
senseval2.d000.s045.t008	1) Exist or occur in a certain point in a series.
senseval2.d000.s045.t009	4) the successful throw of a horseshoe or quoit so as to encircle a stake or peg.
senseval2.d000.s045.t010	1) In or to a place that is higher.
senseval2.d000.s045.t011	3) Create by artistic means
senseval2.d000.s045.t012	2) Used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is
senseval2.d000.s045.t014	2) The act of going out.
senseval2.d000.s045.t015	2) An assemblage of people or animals or things collected together
senseval2.d000.s045.t016	3) Reverent petition to a deity
senseval2.d000.s045.t017	7) Speak, pronounce, or utter in a certain way
senseval2.d000.s046.t000	3) Allow to enter; grant entry toIn this sentence, Vicar Marshall admits to mixed feelings about this issue,
senseval2.d000.s046.t001	2) Involving or composed of different racesIn the given sentence, "mixed feelings" implies a mix of different
senseval2.d000.s046.t002	2) The experiencing of affective and emotional states
senseval2.d000.s046.t003	3) An important question that is in dispute and must be settled
senseval2.d000.s046.t004	1) A Roman Catholic priest who acts for another higher-ranking clergyman
senseval2.d000.s046.t005	The most suitable dictionary definition which identifies the meaning of "active" among the given options is:9) Disposed to take
senseval2.d000.s046.t006	1) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s047.t000	2) (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of
senseval2.d000.s047.t001	3) A push button at an outer door that gives a ringing or buzzing signal when pushed
senseval2.d000.s047.t002	The most suitable dictionary definition which identifies the meaning of "draw" among the given options is:3) Represent by making a
senseval2.d000.s047.t003	3) (plural) any group of human beings (men or women or children) collectively.
senseval2.d000.s047.t004	4) a place for public (especially Christian) worship.
senseval2.d000.s047.t005	7) Speak, pronounce, or utter in a certain way.
senseval2.d000.s048.t000	The most suitable dictionary definition is:3) Pursue a positive and satisfying existenceThis definition accurately describes the meaning of "
senseval2.d000.s048.t001	3) The general feeling that some desire will be fulfilled
senseval2.d000.s048.t002	3) A contestant entered in a competition under false pretenses.
senseval2.d000.s048.t003	1) Suck in or take (air)The sentence "I live in hopes that the ringers themselves will be drawn
senseval2.d000.s048.t004	The most suitable dictionary definition which identifies the meaning of "fuller" is:6) Constituting the full quantity or extent
senseval2.d000.s048.t005	The most suitable definition for "life" is:7) The experience of being alive; the course of human events and activities
senseval2.d000.s049.t000	3) A person of a particular character or nature
senseval2.d000.s049.t001	2) A card game in which you play your sevens and other cards in sequence in the same suit as the sevens
senseval2.d000.s049.t002	8) Any number of entities (members) considered as a unit
senseval2.d000.s049.t003	4) Propose or intend
senseval2.d000.s049.t004	2) To make better.
senseval2.d000.s049.t006	2) (Church of England) a clergyman appointed to act as priest of a parish
senseval2.d000.s049.t007	7) Speak, pronounce, or utter in a certain way.
senseval2.d000.s049.t008	1) The presiding officer of a deliberative assembly.
senseval2.d000.s050.t000	3) Be optimistic; be full of hope; have hopes
senseval2.d000.s050.t001	2) Express in speech
senseval2.d000.s050.t002	2) A learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
senseval2.d000.s050.t004	2) The body of faculty and students of a college
senseval2.d000.s050.t005	2) Something or someone that provides a source of happiness
senseval2.d000.s050.t006	3) The sound of someone playing a set of bells.
senseval2.d000.s050.t007	4) For a short time
senseval2.d000.s050.t008	2) Have (one's written work) issued for publication
senseval2.d000.s050.t010	2) (Church of England) a clergyman appointed to act as priest of a parish
