senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval2.d000.s005.t007	3) Same in identity
senseval2.d000.s005.t008	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s005.t009	2) Before another in time, space, or importance
senseval2.d000.s005.t010	1) Make a certain noise or sound
senseval2.d000.s005.t011	1) In or at this place; where the speaker or writer is
senseval2.d000.s006.t001	The most suitable dictionary definition for "discordant" in the given sentence is:1) Not in agreement or harmony
senseval2.d000.s006.t003	The most suitable dictionary definition for "note" in the given sentence is:5) A notation representing the pitch and duration of
senseval2.d000.s006.t005	3) Derive or receive pleasure from; get enjoyment from; take pleasure in
senseval2.d000.s006.t007	6) The sound of a bell being struck
senseval2.d000.s006.t008	6) Neither warm nor very cold; giving relief from heat
senseval2.d000.s006.t010	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval2.d000.s007.t000	1) The superlative of `much' that can be used with mass nouns and is usually preceded by `the';
senseval2.d000.s007.t001	1) Not the same one or ones already mentioned or implied- the White Queen
senseval2.d000.s007.t002	4) A place for public (especially Christian) worship
senseval2.d000.s007.t004	The most suitable dictionary definition which identifies the meaning of "sets" in the given sentence is:12) An unofficial association
senseval2.d000.s007.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s007.t006	The most suitable dictionary definition for "once" in the given sentence is:1) At a previous time;This definition fits
senseval2.d000.s007.t009	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s007.t011	1) First day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s007.t012	2) The earliest period
senseval2.d000.s007.t013	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval2.d000.s007.t014	The most suitable dictionary definition which identifies the meaning of "service" in the given sentence is:13) The act of
senseval2.d000.s008.t000	2) At the present moment
senseval2.d000.s008.t001	2) And nothing more
senseval2.d000.s008.t002	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval2.d000.s008.t003	3) A contestant entered in a competition under false pretenses
senseval2.d000.s008.t004	3) Be left; of persons, questions, problems, results, evidence, etc.
senseval2.d000.s009.t000	1) In or at this place; where the speaker or writer is
senseval2.d000.s009.t001	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
senseval2.d000.s009.t002	4) Inhabit or live in; be an inhabitant of
senseval2.d000.s010.t001	5) A group of people who work together
senseval2.d000.s010.t002	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s010.t003	3) Add as part of something else; put in as part of a set, group, or category
senseval2.d000.s010.t006	2) The activities of educating or instructing; activities that impart knowledge or skill
senseval2.d000.s010.t007	The most suitable dictionary definition for "drive" in the given sentence is:19) Hit very hard, as by swinging
senseval2.d000.s010.t008	1) First day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s010.t009	4) A place for public (especially Christian) worship
senseval2.d000.s010.t010	4) A place for public (especially Christian) worship
senseval2.d000.s010.t011	4) Use of physical or mental energy; hard work
senseval2.d000.s010.t012	The most suitable dictionary definition for "keep" in the given sentence is:9) Continue a certain state, condition, or
senseval2.d000.s010.t013	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s010.t014	1) Make a certain noise or sound
senseval2.d000.s011.t000	3) In fact (used as intensifiers or sentence modifiers)
senseval2.d000.s011.t001	The most suitable dictionary definition for "service" in the given sentence is:16) A service conducted in a house of
senseval2.d000.s011.t002	5) A structure taller than its diameter; can stand alone or be attached to a larger building.
senseval2.d000.s011.t003	2) Cut the surface of; wear away the surface of
senseval2.d000.s011.t004	4) State as one's opinion or judgement; declare
senseval2.d000.s011.t006	4) A person who works at a specific occupation
senseval2.d000.s012.t000	6) Make an effort or attempt
senseval2.d000.s012.t001	The most suitable dictionary definition for "train" in the given sentence is:2) Teach and supervise (someone
senseval2.d000.s012.t003	1) Popular dance music (especially in the late 1970s); melodic with a regular bass beat;
senseval2.d000.s012.t004	2) Taking a series of rhythmical steps (and movements) in time to music
senseval2.d000.s012.t005	2) And nothing more
senseval2.d000.s012.t006	The most suitable dictionary definition for "drift" in the given sentence is:8) Live unhurriedly, irres
senseval2.d000.s012.t007	8) At a distance in space or time
senseval2.d000.s013.t000	4) Disturb the peace of mind of; afflict with mental agitation or distress
senseval2.d000.s013.t003	The most suitable dictionary definition for "youth" in the given sentence is:1) Young people collectivelyThis definition best
senseval2.d000.s013.t005	1) The body of members of an organization or group
senseval2.d000.s013.t006	5) A group of people who work together
senseval2.d000.s013.t007	The most suitable dictionary definition for "keeps" in the given sentence is:19) Look after; be the keeper
senseval2.d000.s013.t008	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s014.t000	2) The aggregate of past events
senseval2.d000.s014.t001	12) Either the left or right half of a body
senseval2.d000.s015.t001	4) A form containing a set of questions; submitted to people to gain statistical information
senseval2.d000.s015.t002	The most suitable dictionary definition for "taken" in the given sentence is:6) Ascertain or determine by measuring,
senseval2.d000.s015.t003	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d000.s015.t007	4) A place for public (especially Christian) worship
senseval2.d000.s015.t008	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s015.t009	1) Not in any degree or manner; not at all
senseval2.d000.s015.t011	6) Make (bells) ring, often for the purposes of musical edification
senseval2.d000.s015.t012	1) First day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s015.t013	3) Ring or echo with sound
senseval2.d000.s016.t000	5) Posing no difficulty; requiring little effort
senseval2.d000.s016.t001	The most suitable dictionary definition for "see" in the sentence "It is easy to see why the ancient art is on the
senseval2.d000.s016.t002	1) Very old
senseval2.d000.s016.t003	1) A superior skill that you can learn by study and practice and observation
senseval2.d000.s017.t000	1) Used to form the comparative of some adjectives and adverbs
senseval2.d000.s017.t002	5) An interpretation of a matter from a particular viewpoint
senseval2.d000.s017.t003	The most suitable dictionary definition which identifies the meaning of "playing" in the given sentence is:30) Engage
senseval2.d000.s017.t004	3) A succession of notes forming a distinctive sequence
senseval2.d000.s017.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s017.t007	1) Of or pertaining to or typical of Europe
senseval2.d000.s017.t008	2) The nations of the European continent collectively
senseval2.d000.s017.t009	6) Deem to be
senseval2.d000.s017.t010	3) The people of England
senseval2.d000.s017.t012	1) Meeting adequate standards for a purpose
senseval2.d000.s017.t013	2) And nothing more
senseval2.d000.s017.t014	2) A person who comes from a foreign country; someone who does not owe allegiance to your country.
senseval2.d000.s018.t002	3) The people of England
senseval2.d000.s018.t003	2) Come up with (an idea, plan, explanation, theory, or principle) after a mental effort
senseval2.d000.s018.t004	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d000.s018.t006	3) Have need of
senseval2.d000.s018.t007	4) Involving the body as distinguished from the mind or spirit
senseval2.d000.s018.t009	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s018.t010	3) Have a certain weight
senseval2.d000.s018.t014	1) Extremely sharp or intense
senseval2.d000.s018.t015	1) Involving the mind or an intellectual process
senseval2.d000.s018.t016	3) Great and constant diligence and attention
senseval2.d000.s019.t000	1) Of or relating to the English language
senseval2.d000.s019.t001	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s019.t003	The most suitable dictionary definition for "rounds" in the given sentence is:16) An interval during which a recurring
senseval2.d000.s019.t004	2) Used of sounds and voices; high in pitch or frequency
senseval2.d000.s019.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s019.t006	9) Used of sounds and voices; low in pitch or frequency
senseval2.d000.s019.t007	6) Having few parts; not complex or complicated or involved
senseval2.d000.s019.t009	The most suitable dictionary definition which identifies the meaning of "scale" in the given sentence is:11) (music)
senseval2.d000.s019.t010	5) Seek or achieve an end by using to one's advantage
senseval2.d000.s019.t012	4) A place for public (especially Christian) worship
senseval2.d000.s019.t014	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s020.t000	1) Subsequently or soon afterward (often used as sentence connectors)
senseval2.d000.s020.t001	1) Any nonverbal action or gesture that encodes a message
senseval2.d000.s020.t002	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s020.t003	8) Set in motion, cause to start
senseval2.d000.s020.t004	1) Become different in some particular way, without permanently losing one's or its former characteristics or essence
senseval2.d000.s020.t005	The most suitable dictionary definition which identifies the meaning of "order" in the given sentence is:14) The act of
senseval2.d000.s020.t006	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s020.t007	1) Make a certain noise or sound
senseval2.d000.s020.t008	2) Become different in some particular way, without permanently losing one's or its former characteristics or essence
senseval2.d000.s020.t009	The most suitable dictionary definition for "steady" in the given sentence is:3) Not subject to change or variation especially in
senseval2.d000.s020.t010	2) The rate of some repeating event
senseval2.d000.s020.t011	The most suitable dictionary definition for "striking" in the given sentence is:1) The physical coming together of two
senseval2.d000.s021.t000	The most suitable dictionary definition for "variation" in the given sentence is:11) The process of varying or being
senseval2.d000.s021.t002	1) Happen, occur, or be the case in the course of events or by chance (Santayana)This definition
senseval2.d000.s021.t003	2) And nothing more
senseval2.d000.s021.t004	2) On one occasion
senseval2.d000.s021.t005	7) Prescribed guide for conduct or action
senseval2.d000.s021.t006	The most suitable dictionary definition for "state" in the given sentence is:3) Express in wordsThe sentence is discussing
senseval2.d000.s022.t000	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s022.t005	4) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).
senseval2.d000.s022.t006	6) A language unit by which a person or thing is known
senseval2.d000.s023.t000	8) Similar things placed in order or happening one after another
senseval2.d000.s023.t003	The most suitable dictionary definition which identifies the meaning of "takes" in the sentence "A series of 5,0
senseval2.d000.s023.t004	5) (of quantities) imprecise but fairly close to correct
senseval2.d000.s023.t005	3) A period of time equal to 1/24th of a day
senseval2.d000.s024.t000	1) The act of directing the eyes toward something and perceiving it visually
senseval2.d000.s024.t002	1) The time after sunset and before sunrise while it is dark outside
senseval2.d000.s024.t003	7) A practice session in preparation for a public performance (as of a play or speech or concert)
senseval2.d000.s024.t004	4) A place for public (especially Christian) worship
senseval2.d000.s024.t006	The most suitable dictionary definition which identifies the meaning of "gives" in the sentence "A look at a Thursday night practice
senseval2.d000.s024.t007	2) A personal view
senseval2.d000.s024.t008	10) Use of physical or mental energy; hard work
senseval2.d000.s024.t009	1) Connected by participation or association or use
senseval2.d000.s025.t000	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s025.t001	The most suitable dictionary definition for "stand" in the given sentence is:12) Occupy a place or location,
senseval2.d000.s025.t002	3) Ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant
senseval2.d000.s025.t003	11) The part of the leg of a human being below the ankle joint
senseval2.d000.s025.t004	3) In a forward direction
senseval2.d000.s025.t006	1) Standing posture
senseval2.d000.s025.t007	The most suitable dictionary definition for "pulling" in the given sentence is:11) Cause to move in a certain
senseval2.d000.s025.t008	2) A strong line
senseval2.d000.s025.t009	3) Limited in size or scope
senseval2.d000.s025.t010	5) An opening into or through something
senseval2.d000.s025.t011	6) (literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations
senseval2.d000.s025.t012	1) The overhead upper surface of a covered space
senseval2.d000.s025.t013	2) An area within a building enclosed by walls and floor and ceiling
senseval2.d000.s026.t000	2) Express in speech
senseval2.d000.s026.t002	2) A strong line
senseval2.d000.s026.t003	3) Seem to be true, probable, or apparent
senseval2.d000.s026.t004	The most suitable dictionary definition for "make" in the given sentence is:44) Give rise to; cause to happen
senseval2.d000.s026.t006	4) The particular auditory effect produced by a given cause
senseval2.d000.s026.t007	6) The sound of a bell being struck
senseval2.d000.s026.t008	1) Deaden (a sound or noise), especially by wrapping
senseval2.d000.s026.t009	1) The overhead upper surface of a covered space
senseval2.d000.s027.t001	1) Giving or marked by complete attention to
senseval2.d000.s027.t002	The most suitable dictionary definition for "ringers" in the given sentence is:3) A contestant entered in a competition under
senseval2.d000.s027.t003	1) Fixate one's eyes
senseval2.d000.s027.t004	1) Without deviation
senseval2.d000.s027.t005	3) In a forward direction
senseval2.d000.s027.t006	5) Seek or achieve an end by using to one's advantage
senseval2.d000.s027.t008	The most suitable dictionary definition which identifies the meaning of "call" in the given sentence is:23) Rouse somebody
senseval2.d000.s027.t009	1) Follow with the eyes or the mind
senseval2.d000.s027.t010	1) Not the same one or ones already mentioned or implied- the White Queen
senseval2.d000.s027.t011	2) A strong line
senseval2.d000.s027.t012	1) In the way indicated; (`thusly' is a nonstandard variant)In the given sentence, "thus"
senseval2.d000.s027.t013	The most suitable dictionary definition for "time" in the given sentence is:1) Measure the time or duration of an event
senseval2.d000.s027.t014	5) The act of pulling; applying force to move something toward or with you
senseval2.d000.s028.t000	4) At or to or from a great distance in space
senseval2.d000.s028.t001	1) In or to a place that is higher
senseval2.d000.s028.t004	1) Made from or consisting of bronze
senseval2.d000.s028.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s028.t006	1) Attach to a support
senseval2.d000.s028.t007	5) A simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or
senseval2.d000.s028.t008	6) Change direction with a swinging motion; turn
senseval2.d000.s028.t009	2) In an uncontrolled manner
senseval2.d000.s028.t010	3) Containing as much or as many as is possible or normal
senseval2.d000.s028.t011	6) A measure for arcs and angles
senseval2.d000.s028.t012	The most suitable dictionary definition which identifies the meaning of "starting" in the given sentence is:5) Begin or set in
senseval2.d000.s028.t013	3) Be the end of; be the last or concluding part of
senseval2.d000.s028.t015	2) Being in such a position that top and bottom are reversed
senseval2.d000.s028.t016	The most suitable dictionary definition which identifies the meaning of "position" in the given sentence is:10) The spatial property
senseval2.d000.s029.t001	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s029.t002	5) Seek or achieve an end by using to one's advantage
senseval2.d000.s029.t005	The most suitable dictionary definition for "retard" in the given sentence is:3) Cause to move more slowly or operate
senseval2.d000.s029.t006	1) Changing location by moving back and forth
senseval2.d000.s029.t007	The most suitable dictionary definition for "so" in the given sentence is:4) (used to introduce a logical conclusion)
senseval2.d000.s029.t008	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s029.t009	2) Exchange or give (something) in exchange for
senseval2.d000.s029.t010	The most suitable dictionary definition which identifies the meaning of "places" in the given sentence is:14) Proper or appropriate
senseval2.d000.s030.t000	1) Widely or fully known
senseval2.d000.s030.t002	4) Contain as a part
senseval2.d000.s030.t003	4) A place for public (especially Christian) worship
senseval2.d000.s030.t004	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s030.t005	1) Of or relating to the English language
senseval2.d000.s030.t007	2) To give an account or representation of in words
senseval2.d000.s030.t008	The most suitable dictionary definition which identifies the meaning of "passion" in the given sentence is:4) A strong feeling
senseval2.d000.s030.t009	The most suitable dictionary definition which identifies the meaning of "finds" in the given sentence is:16) Make a
senseval2.d000.s030.t010	5) The contentment one feels when one has fulfilled a desire, need, or expectation
senseval2.d000.s030.t011	1) Of or pertaining to or of the nature of mathematics
senseval2.d000.s030.t012	1) The state of being complete and entire; having everything that is neededThis definition best captures the sense of "com
senseval2.d000.s030.t013	1) Relating to or governed by or in accordance with mechanics
senseval2.d000.s030.t014	The most suitable dictionary definition which identifies the meaning of "perfection" in the given sentence is:2) An ideal instance
senseval2.d000.s031.t000	The most suitable dictionary definition for "Ringers" in the given sentence is:2) A person who rings church bells (
senseval2.d000.s031.t001	2) State or say further
senseval2.d000.s031.t002	1) (usually followed by 'with' or used as a combining form) generously supplied with
senseval2.d000.s031.t003	2) Dignified and somber in manner or character and committed to keeping promises
senseval2.d000.s031.t004	The most suitable dictionary definition for "comes" in the given sentence is:13) Happen as a result
senseval2.d000.s031.t006	The most suitable dictionary definition for "ritual" in the given sentence is:2) Any customary observance or practice
senseval2.d000.s031.t008	1) Carry out or perform an action
senseval2.d000.s032.t000	1) Enter or assume a certain state or condition
senseval2.d000.s032.t002	2) An irrational motive for performing trivial or repetitive actions, even against your will
senseval2.d000.s032.t003	4) Declare to be true or admit the existence or reality or truth of
senseval2.d000.s032.t004	2) A person who has general authority over others
senseval2.d000.s032.t007	1) (superlative of `good') having the most positive qualities
senseval2.d000.s032.t008	2) For or pertaining to or composed of women or girls
senseval2.d000.s032.t009	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s033.t000	The most suitable dictionary definition for "passion" in the given sentence is:4) A strong feeling or emotionThe
senseval2.d000.s033.t002	1) Continue in a place, position, or situation
senseval2.d000.s033.t003	5) A structure taller than its diameter; can stand alone or be attached to a larger building
senseval2.d000.s033.t004	2) Despite anything to the contrary (usually following a concession)
senseval2.d000.s034.t000	1) Used to form the comparative of some adjectives and adverbs
senseval2.d000.s034.t001	2) In many cases or instances
senseval2.d000.s034.t002	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s034.t003	The most suitable dictionary definition for "think of" in the given sentence is:5) Keep in mind for attention or consideration
senseval2.d000.s034.t004	4) A place for public (especially Christian) worship
senseval2.d000.s034.t006	4) The lowest part of anything
senseval2.d000.s035.t001	2) Pursue to a conclusion or bring to a successful issue
senseval2.d000.s035.t002	The most suitable dictionary definition for "worked up" in the given sentence is:2) Form or accumulate steadilyIn
senseval2.d000.s035.t003	4) Use of physical or mental energy; hard work
senseval2.d000.s035.t004	3) A contestant entered in a competition under false pretenses
senseval2.d000.s035.t005	1) Many times at short intervals
senseval2.d000.s035.t006	1) Leave suddenly
senseval2.d000.s035.t007	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval2.d000.s035.t009	The most suitable dictionary definition for "leaving" in the given sentence is:11) Go away from a place
senseval2.d000.s035.t010	1) The activity of worshipping
senseval2.d000.s035.t011	4) In or to a place that is lower
senseval2.d000.s036.t000	The most suitable dictionary definition for "well" in the sentence "This does not sit well with some clerics" is:
senseval2.d000.s037.t000	The most suitable dictionary definition for "membership" in the given sentence is:1) The body of members of an organization
senseval2.d000.s037.t002	1) In a steady manner
senseval2.d000.s037.t005	The most suitable dictionary definition for "vicars" in the given sentence is:2) (Church of England) a cl
senseval2.d000.s037.t006	13) Ask for or request earnestly
senseval2.d000.s037.t007	1) In equal amounts or shares; in a balanced or impartial way
senseval2.d000.s037.t009	2) In many cases or instances
senseval2.d000.s037.t010	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s037.t011	7) Be present at (meetings, church services, university), etc.
senseval2.d000.s037.t012	16) A service conducted in a house of worship
senseval2.d000.s038.t000	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d000.s038.t002	The most suitable dictionary definition for "vicar" in the given sentence is:2) (Church of England) a cl
senseval2.d000.s038.t003	The most suitable dictionary definition for "got" in the given sentence is:37) Acquire as a result of some
senseval2.d000.s038.t004	The most suitable dictionary definition for "so" in the given sentence is:2) (usually followed by 'that') to
senseval2.d000.s038.t005	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s038.t006	7) Be present at (meetings, church services, university), etc.
senseval2.d000.s038.t007	The most suitable dictionary definition which identifies the meaning of "service" in the given sentence is:13) The act of
senseval2.d000.s038.t008	1) Terminate the employment of; discharge from an office or position
senseval2.d000.s038.t009	2) Constituting the undiminished entirety; lacking nothing essential especially not damaged
senseval2.d000.s038.t011	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s038.t012	1) With little or no delay
senseval2.d000.s038.t015	The most suitable dictionary definition which identifies the meaning of "protest" in the given sentence is:3) The act of
senseval2.d000.s039.t000	9) A formal association of people with similar interests
senseval2.d000.s039.t001	4) Regard or consider in a specific way
senseval2.d000.s039.t002	5) A structure taller than its diameter; can stand alone or be attached to a larger building.
senseval2.d000.s039.t003	2) An approximate definition or example
senseval2.d000.s039.t004	The most suitable dictionary definition for "separate" in the given sentence is:3) Independent; not united or joint
senseval2.d000.s039.t006	4) State as one's opinion or judgement; declare
senseval2.d000.s040.t000	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d000.s040.t002	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
senseval2.d000.s040.t003	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d000.s040.t004	1) A group of people who adhere to a common faith and habitually attend a given church
senseval2.d000.s041.t000	3) Despite anything to the contrary (usually following a concession)
senseval2.d000.s041.t002	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s041.t003	The most suitable dictionary definition for "ring" in the given sentence is:3) Ring or echo with soundThis definition
senseval2.d000.s041.t005	9) (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell
senseval2.d000.s042.t000	9) (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell
senseval2.d000.s042.t002	4) Marked by absence of sound
senseval2.d000.s042.t003	The most suitable dictionary definition for "following" in the given sentence is:3) Come after in time, as a result
senseval2.d000.s042.t005	4) A place for public (especially Christian) worship
senseval2.d000.s043.t000	The most suitable dictionary definition for "vicar" in the given sentence is:2) (Church of England) a cl
senseval2.d000.s043.t001	5) Show unwillingness towards
senseval2.d000.s043.t002	1) Discuss or mention
senseval2.d000.s043.t003	4) State as one's opinion or judgement; declare
senseval2.d000.s044.t000	2) (Church of England) a clergyman appointed to act as priest of a parish
senseval2.d000.s044.t002	4) A place for public (especially Christian) worship
senseval2.d000.s044.t003	1) Come to believe on the basis of emotion, intuitions, or indefinite grounds
senseval2.d000.s044.t004	1) Responsibility for a bad situation or event
senseval2.d000.s044.t008	1) Nearest in space or position; immediately adjoining without intervening space
senseval2.d000.s044.t009	1) A raised structure on which gifts or sacrifices to a god are made
senseval2.d000.s045.t000	The most suitable dictionary definition for "So" in the given sentence is:3) Subsequently or soon afterward (often used as
senseval2.d000.s045.t007	1) In or at this place; where the speaker or writer is
senseval2.d000.s045.t008	The most suitable dictionary definition for "come" in the given sentence is:6) Move toward, travel toward something or somebody
senseval2.d000.s045.t009	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s045.t010	1) In or to a place that is higher
senseval2.d000.s045.t011	The most suitable dictionary definition for "making" in the given sentence is:44) Give rise to; cause to happen
senseval2.d000.s045.t012	2) Used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal
senseval2.d000.s045.t014	1) An opening that permits escape or release
senseval2.d000.s045.t015	1) A group of people who adhere to a common faith and habitually attend a given church
senseval2.d000.s045.t016	1) The act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
senseval2.d000.s045.t017	6) Utter aloud
senseval2.d000.s046.t000	4) Declare to be true or admit the existence or reality or truth of
senseval2.d000.s046.t001	2) Consisting of a haphazard assortment of different kindsIn the context of the sentence, "mixed
senseval2.d000.s046.t002	2) The experiencing of affective and emotional states
senseval2.d000.s046.t003	3) An important question that is in dispute and must be settled
senseval2.d000.s046.t004	The most suitable dictionary definition for "vicar" in the given sentence is:2) (Church of England) a cl
senseval2.d000.s046.t005	The most suitable definition of "active" in the given sentence is:13) Full of activity or engaged in continuous activity
senseval2.d000.s046.t006	1) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s047.t000	The most suitable dictionary definition which identifies the meaning of "sound" in the given sentence is:4) The particular auditory effect
senseval2.d000.s047.t001	6) The sound of a bell being struck
senseval2.d000.s047.t002	The most suitable dictionary definition for "draw" in the given sentence is:29) Bring or lead someone to a certain
senseval2.d000.s047.t003	3) (plural) any group of human beings (men or women or children) collectively
senseval2.d000.s047.t004	4) A place for public (especially Christian) worship
senseval2.d000.s047.t005	4) State as one's opinion or judgement; declare
senseval2.d000.s048.t000	The most suitable dictionary definition for "live" in the given sentence is:3) Pursue a positive and satisfying existence
senseval2.d000.s048.t001	3) The general feeling that some desire will be fulfilled
senseval2.d000.s048.t002	The most suitable dictionary definition for "ringers" in the given sentence is:3) A contestant entered in a competition under
senseval2.d000.s048.t003	The most suitable dictionary definition for "drawn" in the sentence "I live in hopes that the ringers themselves will be
senseval2.d000.s048.t004	3) Containing as much or as many as is possible or normal
senseval2.d000.s048.t005	The most suitable dictionary definition for "life" in the given sentence is:7) The experience of being alive; the course
senseval2.d000.s049.t000	2) An approximate definition or example
senseval2.d000.s049.t001	The most suitable dictionary definition which identifies the meaning of "parliament" in the given sentence is:3) A legislative assembly
senseval2.d000.s049.t002	4) An organization of musicians who perform together
senseval2.d000.s049.t003	3) Intend (something) to move towards a certain goal
senseval2.d000.s049.t004	1) Get better
senseval2.d000.s049.t006	The most suitable dictionary definition for "vicars" in the given sentence is:2) (Church of England) a cl
senseval2.d000.s049.t007	4) State as one's opinion or judgement; declare
senseval2.d000.s049.t008	1) The presiding officer of a deliberative assembly
senseval2.d000.s050.t000	The most suitable dictionary definition for "hopes" in the given sentence is:2) Expect and wish
senseval2.d000.s050.t001	2) Express in speech
senseval2.d000.s050.t002	1) A learner who is enrolled in an educational institution
