senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval2.d000.s007.t001	3) Very unusual; different in character or quality from the normal or expected.In this context, "other" refers to
senseval2.d000.s007.t002	The most suitable dictionary definition for "churches" in the given sentence is:3) Any of several churches claiming to have
senseval2.d000.s007.t004	17) A group of things of the same kind that belong together and are so used.This definition matches the context of the
senseval2.d000.s007.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s007.t006	2) On one occasionThe sentence implies that St. Michael had its own band of ringers at some point in the
senseval2.d000.s007.t009	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s007.t011	1) First day of the week; observed as a day of rest and worship by most Christians.
senseval2.d000.s007.t012	3) The first light of day.This definition best fits the context of the sentence, as it refers to the time of
senseval2.d000.s007.t013	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)This definition accurately describes
senseval2.d000.s007.t014	6) Work done by one person or group that benefits another.
senseval2.d000.s008.t000	2) At the present moment
senseval2.d000.s008.t001	6) As recently asThis definition indicates that "only" means "up to the point of the latest or most recent
senseval2.d000.s008.t002	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval2.d000.s008.t003	3) A contestant entered in a competition under false pretenses.
senseval2.d000.s008.t004	3) Be left; of persons, questions, problems, results, evidence, etc.In this context, "remains
senseval2.d000.s009.t000	1) In or at this place; where the speaker or writer is
senseval2.d000.s009.t001	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
senseval2.d000.s009.t002	4) Inhabit or live in; be an inhabitant of.In this sentence, "live" is used to indicate
senseval2.d000.s010.t001	8) Any number of entities (members) considered as a unit.This definition is the most suitable for the sentence, as
senseval2.d000.s010.t002	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s010.t003	3) Add as part of something else; put in as part of a set, group, or category.This definition accurately
senseval2.d000.s010.t006	2) The activities of educating or instructing; activities that impart knowledge or skill.This definition best fits the context of the
senseval2.d000.s010.t007	22) Proceed along in a vehicle.The sentence implies that the group drives (moves) from church to church, which suggests
senseval2.d000.s010.t008	1) First day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s010.t009	4) A place for public (especially Christian) worship
senseval2.d000.s010.t010	4) A place for public (especially Christian) worship
senseval2.d000.s010.t011	4) Use of physical or mental energy; hard work.The sentence describes the group's actions as "sometimes-exhausting
senseval2.d000.s010.t012	The most suitable definition for "keep" in the given sentence is:9) Continue a certain state, condition, or activity
senseval2.d000.s010.t013	6) The sound of a bell being struck.The sentence is describing a group of people ringing bells, so the definition of
senseval2.d000.s010.t014	1) Make a certain noise or sound
senseval2.d000.s011.t000	5) To a greater degree or extent; used with comparisonsIn this sentence, "even" is used to mean "
senseval2.d000.s011.t001	6) Work done by one person or group that benefits another
senseval2.d000.s011.t002	5) A structure taller than its diameter; can stand alone or be attached to a larger building.This definition fits the context
senseval2.d000.s011.t003	2) Cut the surface of; wear away the surface ofIn the context of the sentence, Mr. Hammond is suggesting
senseval2.d000.s011.t004	11) Express in wordsIn this sentence, "says" is used to report what Mr. Hammond is saying, indicating
senseval2.d000.s011.t006	4) A person who works at a specific occupation.In the sentence, Mr. Hammond is a retired water-authority worker
senseval2.d000.s012.t000	6) Make an effort or attempt.In the sentence, "tried" means to make an effort or attempt to train
senseval2.d000.s012.t001	4) Develop (children's) behavior by instruction and practice; especially to teach self-controlThis definition fits the context of
senseval2.d000.s012.t003	1) Popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly
senseval2.d000.s012.t004	2) Taking a series of rhythmical steps (and movements) in time to music.
senseval2.d000.s012.t005	4) AbsolutelyIn the sentence, "just" is used to emphasize that the youngsters "drift away" immediately after
senseval2.d000.s012.t006	10) Wander from a direct course or at random
senseval2.d000.s012.t007	11) Out of the way (especially away from one's thoughts)In the sentence, "drift away" means to
senseval2.d000.s013.t000	5) Be worried, concerned, anxious, troubled, or uneasyThis definition best captures the meaning of "worries"
senseval2.d000.s013.t003	6) A young person (especially a young man or boy).This definition fits the context of the sentence, where "y
senseval2.d000.s013.t005	1) The body of members of an organization or group.This definition best fits the context of the sentence, as it refers
senseval2.d000.s013.t006	4) An organization of musicians who perform together.
senseval2.d000.s013.t007	9) Continue a certain state, condition, or activity.In this sentence, "keeps" means to maintain or continue
senseval2.d000.s013.t008	6) The sound of a bell being struck.This definition is the most suitable because the sentence mentions the "Aslact
senseval2.d000.s014.t000	2) The aggregate of past events.This definition captures the essence of the word "History" as a collection of past events
senseval2.d000.s014.t001	9) An opinion that is held in opposition to another in an argument or dispute.
senseval2.d000.s015.t001	4) A form containing a set of questions; submitted to people to gain statistical information.This definition matches the meaning of "
senseval2.d000.s015.t002	The most suitable definition for the word "taken" in the sentence is:1) Receive or obtain regularlyThis definition fits
senseval2.d000.s015.t003	5) A period of time containing 365 (or 366) days.This definition matches the context of the sentence,
senseval2.d000.s015.t007	4) A place for public (especially Christian) worship
senseval2.d000.s015.t008	6) The sound of a bell being struck.This definition directly refers to the sound produced by a bell, which is the
senseval2.d000.s015.t009	3) Used to express refusal or denial or disagreement etc or especially to emphasize a negative statement.The word "no" is
senseval2.d000.s015.t011	6) Make (bells) ring, often for the purposes of musical edification.
senseval2.d000.s015.t012	1) First day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s015.t013	6) Make (bells) ring, often for the purposes of musical edification
senseval2.d000.s016.t000	5) Posing no difficulty; requiring little effort.
senseval2.d000.s016.t001	9) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
senseval2.d000.s016.t002	2) Belonging to times long past especially of the historical period before the fall of the Western Roman Empire.This definition
senseval2.d000.s016.t003	2) The products of human creativity; works of art collectively
senseval2.d000.s017.t000	2) Comparative of littleIn this context, "less" is used as the comparative form of the adjective "little",
senseval2.d000.s017.t002	6) Something a little different from others of the same typeIn this sentence, "version" refers to a variation or
senseval2.d000.s017.t003	The most suitable dictionary definition which identifies the meaning of "playing" among the given options is:6) Engage in recreational
senseval2.d000.s017.t004	3) A succession of notes forming a distinctive sequence.In this context, "tunes" refers to a series of musical
senseval2.d000.s017.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s017.t007	1) Of or pertaining to or typical of Europe
senseval2.d000.s017.t008	3) The 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer
senseval2.d000.s017.t009	The correct answer is 6) Deem to be.In the sentence, "considered" is used to express the
senseval2.d000.s017.t010	5) An Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most
senseval2.d000.s017.t012	5) Meant or adapted for an occasion or use.In the given sentence, "fit" is used to describe something
senseval2.d000.s017.t013	5) Never except whenThis definition of "only" implies that something is not the case under any circumstances except when a
senseval2.d000.s017.t014	2) A person who comes from a foreign country; someone who does not owe allegiance to your country.
senseval2.d000.s018.t002	5) An Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most
senseval2.d000.s018.t003	2) Come up with (an idea, plan, explanation, theory, or principle) after a mental effort.The sentence
senseval2.d000.s018.t004	5) A period of time containing 365 (or 366) days.
senseval2.d000.s018.t006	2) Make someone do something.In the sentence, "requires" means to make someone do something, as in "Change
senseval2.d000.s018.t007	4) Involving the body as distinguished from the mind or spirit.This definition of "physical" most accurately captures the
senseval2.d000.s018.t009	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s018.t010	2) Have weight; have import, carry weight
senseval2.d000.s018.t014	1) Extremely sharp or intense.
senseval2.d000.s018.t015	1) Involving the mind or an intellectual process
senseval2.d000.s018.t016	8) Complete attention; intense mental effort.This definition accurately captures the meaning of "concentration" in the given sentence,
senseval2.d000.s019.t000	1) Of or relating to the English language
senseval2.d000.s019.t001	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s019.t003	15) A partsong in which voices follow each other; one voice starts and others join in one after another until all are
senseval2.d000.s019.t004	2) Used of sounds and voices; high in pitch or frequency.This definition fits the context of the sentence, where "
senseval2.d000.s019.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s019.t006	9) Used of sounds and voices; low in pitch or frequency.In this context, "lowest" is used to describe
senseval2.d000.s019.t007	6) Having few parts; not complex or complicated or involved.
senseval2.d000.s019.t009	11) (music) a series of notes differing in pitch according to a specific scheme (usually within an octave)
senseval2.d000.s019.t010	7) Put into service; make work or employ for a particular purpose or for its inherent or natural purpose.In this sentence
senseval2.d000.s019.t012	4) A place for public (especially Christian) worship.
senseval2.d000.s019.t014	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s020.t000	1) Subsequently or soon afterward (often used as sentence connectors)This definition best fits the context of the sentence, as
senseval2.d000.s020.t001	1) Any nonverbal action or gesture that encodes a messageThis definition best fits the context of the sentence,
senseval2.d000.s020.t002	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s020.t003	6) Be the first item or point, constitute the beginning or start, come first in a series.This definition best captures
senseval2.d000.s020.t004	1) Become different in some particular way, without permanently losing one's or its former characteristics or essence.This definition best captures
senseval2.d000.s020.t005	4) (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must
senseval2.d000.s020.t006	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s020.t007	7) Give off a certain sound or sounds
senseval2.d000.s020.t008	2) Become different in some particular way, without permanently losing one's or its former characteristics or essence.This definition best fits
senseval2.d000.s020.t009	2) Marked by firm determination or resolution; not shakable.
senseval2.d000.s020.t010	5) The basic rhythmic unit in a piece of music.This definition directly relates to the context of the sentence, where
senseval2.d000.s020.t011	2) The act of contacting one thing with another.This definition best describes the meaning of "striking" in the given
senseval2.d000.s021.t000	5) Something a little different from others of the same type.This definition best captures the meaning of "variation" in the
senseval2.d000.s021.t002	1) Happen, occur, or be the case in the course of events or by chance (Santayana)
senseval2.d000.s021.t003	6) As recently asThis definition of "only" is used to indicate that something can occur once, in contrast to
senseval2.d000.s021.t004	2) On one occasion.This definition best matches the context of the sentence, which implies a single occurrence or instance of a
senseval2.d000.s021.t005	7) Prescribed guide for conduct or action.This definition best fits the context of the sentence, as "rules" in
senseval2.d000.s021.t006	3) Express in words.This definition best matches the meaning of "state" in the sentence, as it refers to the
senseval2.d000.s022.t000	2) A person who rings church bells (as for summoning the congregation).This definition matches the context of the sentence,
senseval2.d000.s022.t005	4) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)This definition
senseval2.d000.s022.t006	6) A language unit by which a person or thing is known
senseval2.d000.s023.t000	8) Similar things placed in order or happening one after another.This definition matches the context of the sentence, as "a
senseval2.d000.s023.t003	1) Receive or obtain regularly
senseval2.d000.s023.t004	5) (of quantities) imprecise but fairly close to correct.This definition of "about" is used to indicate
senseval2.d000.s023.t005	3) A period of time equal to 1/24th of a day
senseval2.d000.s024.t000	1) The act of directing the eyes toward something and perceiving it visually
senseval2.d000.s024.t002	1) The time after sunset and before sunrise while it is dark outside.
senseval2.d000.s024.t003	7) A practice session in preparation for a public performance (as of a play or speech or concert).This definition fits the
senseval2.d000.s024.t004	4) A place for public (especially Christian) worship
senseval2.d000.s024.t006	Among the given options, the most suitable definition of "gives" is:9) Bring aboutThis definition best fits
senseval2.d000.s024.t007	3) The content of cognition; the main thing you are thinking about.This definition best fits the context of the sentence,
senseval2.d000.s024.t008	11) Activity directed toward making or doing something.This definition best fits the context of the sentence, which implies that the practice
senseval2.d000.s024.t009	1) Connected by participation or association or useIn the given sentence, "involved" means being connected or associated with
senseval2.d000.s025.t000	4) (horseshoes) the successful throw of a horseshoe or quoit so as to encircle a
senseval2.d000.s025.t001	10) Be standing; be uprightThis definition is the most suitable for the context of the sentence, as it describes the
senseval2.d000.s025.t002	9) Something approximating the shape of a circleThis definition best fits the sentence as it describes a circular arrangement of objects
senseval2.d000.s025.t003	11) The part of the leg of a human being below the ankle joint.This definition best fits the context of the sentence
senseval2.d000.s025.t004	3) In a forward direction
senseval2.d000.s025.t006	1) Standing posture
senseval2.d000.s025.t007	The most suitable definition for "pulling" is:3) Apply force so as to cause motion towards the source of the
senseval2.d000.s025.t008	2) A strong line.The sentence describes a rope as a strong, cord-like structure used for pulling or supporting, which
senseval2.d000.s025.t009	The most suitable dictionary definition which identifies the meaning of "small" in the given sentence is:5) Not large but sufficient
senseval2.d000.s025.t010	10) An opening deliberately made in or through something.
senseval2.d000.s025.t011	6) (literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like
senseval2.d000.s025.t012	1) The overhead upper surface of a covered space
senseval2.d000.s025.t013	2) An area within a building enclosed by walls and floor and ceiling.
senseval2.d000.s026.t000	2) Express in speech.The sentence implies that no one is speaking, but the sound of the ropes is mimicking the
senseval2.d000.s026.t002	2) A strong lineThe sentence describes the sound of the ropes, which implies that they are being twisted or turned,
senseval2.d000.s026.t003	3) Seem to be true, probable, or apparent.This definition captures the idea that "seems" is being
senseval2.d000.s026.t004	The most suitable dictionary definition for "make" in the given sentence is:46) Perform or carry outThis definition fits
senseval2.d000.s026.t006	3) The subjective sensation of hearing something.This definition is the most suitable because the sentence describes the subjective experience of hearing or
senseval2.d000.s026.t007	6) The sound of a bell being struck.
senseval2.d000.s026.t008	1) Deaden (a sound or noise), especially by wrappingIn this context, "muffled" means to reduce
senseval2.d000.s026.t009	1) The overhead upper surface of a covered space
senseval2.d000.s027.t001	1) Giving or marked by complete attention to
senseval2.d000.s027.t002	4) (horseshoes) the successful throw of a horseshoe or quoit so as to encircle a
senseval2.d000.s027.t003	2) Look at with fixed eyes.
senseval2.d000.s027.t004	2) In a straight line; in a direct course
senseval2.d000.s027.t005	3) In a forward direction.In this context, "ahead" refers to the direction in which the ringers are staring
senseval2.d000.s027.t006	4) Use up, consume fully.In this sentence, "using" is used in the sense of "consuming"
senseval2.d000.s027.t008	10) Order or request or give a command for
senseval2.d000.s027.t009	The most suitable definition is:1) Follow with the eyes or the mindThis definition captures the idea of paying attention to
senseval2.d000.s027.t010	3) Very unusual; different in character or quality from the normal or expectedIn this context, "other" is used
senseval2.d000.s027.t011	2) A strong line.The context of the sentence suggests that the "ropes" refer to long, sturdy lines or
senseval2.d000.s027.t012	2) (used to introduce a logical conclusion) from that fact or reason or as a result.In this context, "
senseval2.d000.s027.t013	1) Measure the time or duration of an event or action or the person who performs an action in a certain period of time
senseval2.d000.s027.t014	5) The act of pulling; applying force to move something toward or with you.This definition best fits the context of the
senseval2.d000.s028.t000	4) At or to or from a great distance in space.The word "Far" is an adverb that indicates a
senseval2.d000.s028.t001	1) In or to a place that is higherThis definition best fits the sentence, as "above" is used to
senseval2.d000.s028.t004	1) Made from or consisting of bronze.This definition directly refers to the material composition of "bronze", which is an
senseval2.d000.s028.t005	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s028.t006	1) Attach to a supportIn this context, "mounted" means to attach or fasten something (in this case
senseval2.d000.s028.t007	5) A simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or
senseval2.d000.s028.t008	The most suitable definition is:1) Move in a curve or arc, usually with the intent of hittingThis definition best
senseval2.d000.s028.t009	2) In an uncontrolled mannerIn this context, "madly" is used to describe the intense and uncontrolled
senseval2.d000.s028.t010	4) Complete in extent or degree and in every particular.This definition of "full" fits the context of the sentence,
senseval2.d000.s028.t011	6) A measure for arcs and angles.
senseval2.d000.s028.t012	The most suitable dictionary definition which identifies the meaning of "starting" in the given sentence is:11) Get going or set
senseval2.d000.s028.t013	3) Be the end of; be the last or concluding part of.In this sentence, "ending" refers to the
senseval2.d000.s028.t015	2) Being in such a position that top and bottom are reversedThis definition accurately describes the meaning of "inverted"
senseval2.d000.s028.t016	The most suitable dictionary definition which identifies the meaning of "position" in the given sentence is:10) The spatial property of
senseval2.d000.s029.t001	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s029.t002	3) Take or consume (regularly or habitually)The sentence implies that skilled ringers regularly use their wrists to advance
senseval2.d000.s029.t005	3) Cause to move more slowly or operate at a slower rate.In this context, "retard" means to slow
senseval2.d000.s029.t006	4) The act of swinging a golf club at a golf ball and (usually) hitting it.
senseval2.d000.s029.t007	2) (usually followed by `that') to an extent or degree as expressed.In this context, "so" is
senseval2.d000.s029.t008	The most suitable dictionary definition for "bell" in the context of the sentence is:1) The shape of a bell
senseval2.d000.s029.t009	2) Exchange or give (something) in exchange for
senseval2.d000.s029.t010	16) The particular portion of space occupied by something.In the sentence, "places" refers to the specific location where one
senseval2.d000.s030.t000	1) Widely or fully known
senseval2.d000.s030.t002	3) Engage as a participant.The sentence implies that the story is a part of a larger narrative, and Dorothy L
senseval2.d000.s030.t003	4) A place for public (especially Christian) worship
senseval2.d000.s030.t004	6) The sound of a bell being struck.The sentence is describing the "ringing" of bells, not the bells
senseval2.d000.s030.t005	1) Of or relating to the English language
senseval2.d000.s030.t007	2) To give an account or representation of in words.
senseval2.d000.s030.t008	4) A strong feeling or emotion
senseval2.d000.s030.t009	6) Discover or determine the existence, presence, or fact of.This definition best fits the context of the sentence, as
senseval2.d000.s030.t010	5) The contentment one feels when one has fulfilled a desire, need, or expectation.This definition best captures the idea
senseval2.d000.s030.t011	5) Characterized by the exactness or precision of mathematics.The sentence describes the "passion" for ringing as having
senseval2.d000.s030.t012	1) The state of being complete and entire; having everything that is neededThis definition is more suitable for the context of
senseval2.d000.s030.t013	1) Relating to or governed by or in accordance with mechanics
senseval2.d000.s030.t014	3) The state of being without a flaw or defect.This definition best captures the meaning of "perfection" in the
senseval2.d000.s031.t000	2) A person who rings church bells (as for summoning the congregation).The context of the sentence suggests that the person
senseval2.d000.s031.t001	1) Make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
senseval2.d000.s031.t002	1) (usually followed by `with' or used as a combining form) generously supplied withIn the given sentence,
senseval2.d000.s031.t003	2) Dignified and somber in manner or character and committed to keeping promises.This definition best captures the meaning of
senseval2.d000.s031.t004	22) Come to one's mind; suggest itself.The sentence is describing the emotional state of the person, indicating that the
senseval2.d000.s031.t006	2) Any customary observance or practice.The word "ritual" refers to a habitual or traditional practice, often with
senseval2.d000.s031.t008	1) Carry out or perform an actionThis definition best fits the context of the sentence, as "performed" is
senseval2.d000.s032.t000	2) Undergo a change or development.
senseval2.d000.s032.t002	3) An unhealthy and compulsive preoccupation with something or someone.
senseval2.d000.s032.t003	6) Allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of.
senseval2.d000.s032.t004	13) An authority qualified to teach apprentices.In this context, "master" refers to someone who has expertise and authority in
senseval2.d000.s032.t007	1) (superlative of `good') having the most positive qualities.
senseval2.d000.s032.t008	2) For or pertaining to or composed of women or girls.
senseval2.d000.s032.t009	2) A person who rings church bells (as for summoning the concert or event).
senseval2.d000.s033.t000	4) A strong feeling or emotion.In this context, "passion" refers to a strong feeling or emotion, rather
senseval2.d000.s033.t002	1) Continue in a place, position, or situation.In the given sentence, the word "stays" is used
senseval2.d000.s033.t003	5) A structure taller than its diameter; can stand alone or be attached to a larger building.This definition best matches the
senseval2.d000.s033.t004	2) Despite anything to the contrary (usually following a concession)In this sentence, "however" is used to contrast with
senseval2.d000.s034.t000	The correct answer is:2) Comparative of much; to a greater degree or extent.In the sentence, "More often
senseval2.d000.s034.t001	2) In many cases or instances
senseval2.d000.s034.t002	2) A person who rings church bells (as for summoning the church congregation).
senseval2.d000.s034.t003	6) Look on as or considerThe phrase "think of" is an idiomatic expression that means to consider or regard
senseval2.d000.s034.t004	4) A place for public (especially Christian) worship
senseval2.d000.s034.t006	4) The lowest part of anything.
senseval2.d000.s035.t001	5) Come or bring to a finish or an endIn this context, "completed" means that the changes have reached
senseval2.d000.s035.t002	2) Form or accumulate steadilyIn this context, "worked up" means to exert effort or energy, often in a
senseval2.d000.s035.t003	4) Use of physical or mental energy; hard work.In the sentence, the phrase "worked up a sweat" is
senseval2.d000.s035.t004	2) A person who rings church bells (as for summoning the congregation).This definition matches the context of the sentence,
senseval2.d000.s035.t005	3) Frequently or in great quantities.This definition best captures the meaning of "often" in the sentence, as it implies
senseval2.d000.s035.t006	6) Jump lightly.The sentence implies that the people are leaving quickly and moving away, which is consistent with the idea of
senseval2.d000.s035.t007	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval2.d000.s035.t009	The most suitable dictionary definition which identifies the meaning of "leaving" is:2) Go and leave behind, either intentionally
senseval2.d000.s035.t010	2) A feeling of profound love and admirationIn this context, "worship" is used figuratively to describe a
senseval2.d000.s035.t011	4) In or to a place that is lower
senseval2.d000.s036.t000	6) (often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good
senseval2.d000.s037.t000	1) The body of members of an organization or group.This definition best fits the context of the sentence, as it refers
senseval2.d000.s037.t002	1) In a steady manner
senseval2.d000.s037.t005	2) (Church of England) a clergyman appointed to act as priest of a parish.
senseval2.d000.s037.t006	14) Exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for
senseval2.d000.s037.t007	1) In equal amounts or shares; in a balanced or impartial way
senseval2.d000.s037.t009	3) Frequently or in great quantities.The word "often" is used to indicate that the ringers attend services "f
senseval2.d000.s037.t010	2) A person who rings church bells (as for summoning the congregation).In the given sentence, "ringers"
senseval2.d000.s037.t011	7) Be present at (meetings, church services, university), etc.This definition best fits the context of the sentence
senseval2.d000.s037.t012	6) Work done by one person or group that benefits another.This definition best fits the context of the sentence, where the
senseval2.d000.s038.t000	5) A period of time containing 365 (or 366) days.This definition most accurately describes the meaning of "
senseval2.d000.s038.t002	2) (Church of England) a clergyman appointed to act as priest of a parish
senseval2.d000.s038.t003	The most suitable dictionary definition which identifies the meaning of "got" among the provided options is:9) Go or come after
senseval2.d000.s038.t004	2) (usually followed by 'that') to an extent or degree as expressedThis definition captures the meaning of "so
senseval2.d000.s038.t005	2) A person who rings church bells (as for summoning the concert or gathering)
senseval2.d000.s038.t006	7) Be present at (meetings, church services, university), etc.In the given sentence, the word "attend
senseval2.d000.s038.t007	6) Work done by one person or group that benefits another.In the given sentence, "service" refers to the act
senseval2.d000.s038.t008	1) Terminate the employment of; discharge from an office or position
senseval2.d000.s038.t009	4) Constituting the full quantity or extent; complete.The word "entire" in the sentence implies that the vic
senseval2.d000.s038.t011	2) A person who rings church bells (as for summoning the concert)
senseval2.d000.s038.t012	2) At once (usually modifies an undesirable occurrence)In this sentence, "promptly" is used to describe the action
senseval2.d000.s038.t015	2) The act of making a strong public expression of disagreement and disapproval.This definition best captures the meaning of "pro
senseval2.d000.s039.t000	9) A formal association of people with similar interests.In the given sentence, the context suggests that "the club" refers
senseval2.d000.s039.t001	4) Regard or consider in a specific way.In this context, "treated" means that the tower was considered
senseval2.d000.s039.t002	5) A structure taller than its diameter; can stand alone or be attached to a larger building.This definition best fits the
senseval2.d000.s039.t003	5) A category of things distinguished by some common characteristic or quality.In this sentence, "sort" refers to a category
senseval2.d000.s039.t004	3) Independent; not united or joint.In this context, "separate" is used to describe the tower as being
senseval2.d000.s039.t006	11) Express in wordsThe sentence "They were a self-perpetuating club that treated the tower as sort of a
senseval2.d000.s040.t000	10) Original and of a kind not seen before
senseval2.d000.s040.t002	1) The day that includes the present moment (as opposed to yesterday or tomorrow).
senseval2.d000.s040.t003	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d000.s040.t004	1) A group of people who adhere to a common faith and habitually attend a given church
senseval2.d000.s041.t000	1) With reference to action or condition; without change, interruption, or cessationThis definition of "still" best fits
